11902001	24	30	8	8	8
11902002	24	32	5	8	8
11902003	21	21	10	7	8
11902005	21	22	10	7	8
11902006	24	27	10	8	8
11902008	23	25	7	8	8
11902009	24	27	10	8	8
11902010	30	26	10	8	9
11902011	21	23	10	7	8
11902012	18	30	4	7	7
11902014	24	30	10	8	9
11902015	24	30	10	8	9
11902018	0	27	6	6	6
11902022	23	25	10	8	8
11902023	21	30	10	8	8
11902024	0	26	10	6	7
11902027	21	30	10	8	8
11902029	21	28	8	8	8
11902030	24	38	10	9	9
11902032	0	30	7	6	6
11902033	22	30	10	8	8
11902034	24	33	10	8	9
11902035	18	26	4	7	7
11902036	26	36	10	9	9
11902037	23	35	10	9	9
11902038	22	24	5	7	7
11902039	22	32	4	8	8
11902041	22	30	10	8	8
11902042	22	30	6	8	8
11902043	23	30	10	8	8
11902044	21	32	6	8	8
11902046	4	24	4	6	6
11902048	19	28	8	8	8
11902051	20	21	9	7	7
11902053	20	24	4	7	7
11902054	17	22	4	7	7
11902055	19	30	4	7	7
11902057	22	28	4	7	8
11902058	20	30	7	8	8
11902059	22	30	4	8	8
11902060	7	27	4	6	6
11902063	17	23	4	7	7
11902064	20	28	10	8	8
11902065	23	27	10	8	8
11902066	21	25	4	7	7
11902068	20	32	8	8	8
11902071	21	20	4	7	7
11902074	18	30	4	7	7
11902075	0	23	4	5	6
3192973	0	28	5	6	6
